Abilities,Name,Pokedex Number,Stat,Type1,Type2,Against Bug,Against Dark,Against Dragon,Against Electric,Against Fairy,Against Fight,Against Fire,Against Flying,Against Ghost,Against Grass,Against Ground,Against Ice,Against Normal,Against Poison,Against Psychic,Against Rock,Against Steel,Against Water,Base Total,Capture Rate,Generation,Height M,Is Legendary,Percentage Male,Value,Weight Kg
"['Blaze', 'Solar Power']",Charizard,6,Sp Defense,fire,flying,0.25,1,1,2,0.5,0.5,0.5,1,1,0.25,0,1,1,1,1,4,0.5,2,634,45,1,1.7,0,88.1,115,90.5
"['Blaze', 'Solar Power']",Charizard,6,Speed,fire,flying,0.25,1,1,2,0.5,0.5,0.5,1,1,0.25,0,1,1,1,1,4,0.5,2,634,45,1,1.7,0,88.1,100,90.5
"['Torrent', 'Rain Dish']",Squirtle,7,Attack,water,,1,1,1,2,1,1,0.5,1,1,2,1,0.5,1,1,1,1,0.5,0.5,314,45,1,0.5,0,88.1,48,9
"['Torrent', 'Rain Dish']",Squirtle,7,Defense,water,,1,1,1,2,1,1,0.5,1,1,2,1,0.5,1,1,1,1,0.5,0.5,314,45,1,0.5,0,88.1,65,9
"['Torrent', 'Rain Dish']",Squirtle,7,Hp,water,,1,1,1,2,1,1,0.5,1,1,2,1,0.5,1,1,1,1,0.5,0.5,314,45,1,0.5,0,88.1,44,9
"['Torrent', 'Rain Dish']",Squirtle,7,Sp Attack,water,,1,1,1,2,1,1,0.5,1,1,2,1,0.5,1,1,1,1,0.5,0.5,314,45,1,0.5,0,88.1,50,9
"['Torrent', 'Rain Dish']",Squirtle,7,Sp Defense,water,,1,1,1,2,1,1,0.5,1,1,2,1,0.5,1,1,1,1,0.5,0.5,314,45,1,0.5,0,88.1,64,9
"['Torrent', 'Rain Dish']",Squirtle,7,Speed,water,,1,1,1,2,1,1,0.5,1,1,2,1,0.5,1,1,1,1,0.5,0.5,314,45,1,0.5,0,88.1,43,9
"['Torrent', 'Rain Dish']",Wartortle,8,Attack,water,,1,1,1,2,1,1,0.5,1,1,2,1,0.5,1,1,1,1,0.5,0.5,405,45,1,1,0,88.1,63,22.5
"['Torrent', 'Rain Dish']",Wartortle,8,Defense,water,,1,1,1,2,1,1,0.5,1,1,2,1,0.5,1,1,1,1,0.5,0.5,405,45,1,1,0,88.1,80,22.5
"['Torrent', 'Rain Dish']",Wartortle,8,Hp,water,,1,1,1,2,1,1,0.5,1,1,2,1,0.5,1,1,1,1,0.5,0.5,405,45,1,1,0,88.1,59,22.5
"['Torrent', 'Rain Dish']",Wartortle,8,Sp Attack,water,,1,1,1,2,1,1,0.5,1,1,2,1,0.5,1,1,1,1,0.5,0.5,405,45,1,1,0,88.1,65,22.5
"['Torrent', 'Rain Dish']",Wartortle,8,Sp Defense,water,,1,1,1,2,1,1,0.5,1,1,2,1,0.5,1,1,1,1,0.5,0.5,405,45,1,1,0,88.1,80,22.5
"['Torrent', 'Rain Dish']",Wartortle,8,Speed,water,,1,1,1,2,1,1,0.5,1,1,2,1,0.5,1,1,1,1,0.5,0.5,405,45,1,1,0,88.1,58,22.5
"['Torrent', 'Rain Dish']",Blastoise,9,Attack,water,,1,1,1,2,1,1,0.5,1,1,2,1,0.5,1,1,1,1,0.5,0.5,630,45,1,1.6,0,88.1,103,85.5
"['Torrent', 'Rain Dish']",Blastoise,9,Defense,water,,1,1,1,2,1,1,0.5,1,1,2,1,0.5,1,1,1,1,0.5,0.5,630,45,1,1.6,0,88.1,120,85.5
"['Torrent', 'Rain Dish']",Blastoise,9,Hp,water,,1,1,1,2,1,1,0.5,1,1,2,1,0.5,1,1,1,1,0.5,0.5,630,45,1,1.6,0,88.1,79,85.5
"['Torrent', 'Rain Dish']",Blastoise,9,Sp Attack,water,,1,1,1,2,1,1,0.5,1,1,2,1,0.5,1,1,1,1,0.5,0.5,630,45,1,1.6,0,88.1,135,85.5
"['Torrent', 'Rain Dish']",Blastoise,9,Sp Defense,water,,1,1,1,2,1,1,0.5,1,1,2,1,0.5,1,1,1,1,0.5,0.5,630,45,1,1.6,0,88.1,115,85.5
"['Torrent', 'Rain Dish']",Blastoise,9,Speed,water,,1,1,1,2,1,1,0.5,1,1,2,1,0.5,1,1,1,1,0.5,0.5,630,45,1,1.6,0,88.1,78,85.5
"['Shield Dust', 'Run Away']",Caterpie,10,Attack,bug,,1,1,1,1,1,0.5,2,2,1,0.5,0.5,1,1,1,1,2,1,1,195,255,1,0.3,0,50,30,2.9
"['Shield Dust', 'Run Away']",Caterpie,10,Defense,bug,,1,1,1,1,1,0.5,2,2,1,0.5,0.5,1,1,1,1,2,1,1,195,255,1,0.3,0,50,35,2.9
"['Shield Dust', 'Run Away']",Caterpie,10,Hp,bug,,1,1,1,1,1,0.5,2,2,1,0.5,0.5,1,1,1,1,2,1,1,195,255,1,0.3,0,50,45,2.9
"['Shield Dust', 'Run Away']",Caterpie,10,Sp Attack,bug,,1,1,1,1,1,0.5,2,2,1,0.5,0.5,1,1,1,1,2,1,1,195,255,1,0.3,0,50,20,2.9
"['Shield Dust', 'Run Away']",Caterpie,10,Sp Defense,bug,,1,1,1,1,1,0.5,2,2,1,0.5,0.5,1,1,1,1,2,1,1,195,255,1,0.3,0,50,20,2.9
"['Shield Dust', 'Run Away']",Caterpie,10,Speed,bug,,1,1,1,1,1,0.5,2,2,1,0.5,0.5,1,1,1,1,2,1,1,195,255,1,0.3,0,50,45,2.9
['Shed Skin'],Metapod,11,Attack,bug,,1,1,1,1,1,0.5,2,2,1,0.5,0.5,1,1,1,1,2,1,1,205,120,1,0.7,0,50,20,9.9
['Shed Skin'],Metapod,11,Defense,bug,,1,1,1,1,1,0.5,2,2,1,0.5,0.5,1,1,1,1,2,1,1,205,120,1,0.7,0,50,55,9.9
['Shed Skin'],Metapod,11,Hp,bug,,1,1,1,1,1,0.5,2,2,1,0.5,0.5,1,1,1,1,2,1,1,205,120,1,0.7,0,50,50,9.9
['Shed Skin'],Metapod,11,Sp Attack,bug,,1,1,1,1,1,0.5,2,2,1,0.5,0.5,1,1,1,1,2,1,1,205,120,1,0.7,0,50,25,9.9
['Shed Skin'],Metapod,11,Sp Defense,bug,,1,1,1,1,1,0.5,2,2,1,0.5,0.5,1,1,1,1,2,1,1,205,120,1,0.7,0,50,25,9.9
['Shed Skin'],Metapod,11,Speed,bug,,1,1,1,1,1,0.5,2,2,1,0.5,0.5,1,1,1,1,2,1,1,205,120,1,0.7,0,50,30,9.9
"['Compoundeyes', 'Tinted Lens']",Butterfree,12,Attack,bug,flying,0.5,1,1,2,1,0.25,2,2,1,0.25,0,2,1,1,1,4,1,1,395,45,1,1.1,0,50,45,32
"['Compoundeyes', 'Tinted Lens']",Butterfree,12,Defense,bug,flying,0.5,1,1,2,1,0.25,2,2,1,0.25,0,2,1,1,1,4,1,1,395,45,1,1.1,0,50,50,32
"['Compoundeyes', 'Tinted Lens']",Butterfree,12,Hp,bug,flying,0.5,1,1,2,1,0.25,2,2,1,0.25,0,2,1,1,1,4,1,1,395,45,1,1.1,0,50,60,32
"['Compoundeyes', 'Tinted Lens']",Butterfree,12,Sp Attack,bug,flying,0.5,1,1,2,1,0.25,2,2,1,0.25,0,2,1,1,1,4,1,1,395,45,1,1.1,0,50,90,32
"['Compoundeyes', 'Tinted Lens']",Butterfree,12,Sp Defense,bug,flying,0.5,1,1,2,1,0.25,2,2,1,0.25,0,2,1,1,1,4,1,1,395,45,1,1.1,0,50,80,32
"['Compoundeyes', 'Tinted Lens']",Butterfree,12,Speed,bug,flying,0.5,1,1,2,1,0.25,2,2,1,0.25,0,2,1,1,1,4,1,1,395,45,1,1.1,0,50,70,32
"['Shield Dust', 'Run Away']",Weedle,13,Attack,bug,poison,0.5,1,1,1,0.5,0.25,2,2,1,0.25,1,1,1,0.5,2,2,1,1,195,255,1,0.3,0,50,35,3.2
"['Shield Dust', 'Run Away']",Weedle,13,Defense,bug,poison,0.5,1,1,1,0.5,0.25,2,2,1,0.25,1,1,1,0.5,2,2,1,1,195,255,1,0.3,0,50,30,3.2
"['Shield Dust', 'Run Away']",Weedle,13,Hp,bug,poison,0.5,1,1,1,0.5,0.25,2,2,1,0.25,1,1,1,0.5,2,2,1,1,195,255,1,0.3,0,50,40,3.2
"['Shield Dust', 'Run Away']",Weedle,13,Sp Attack,bug,poison,0.5,1,1,1,0.5,0.25,2,2,1,0.25,1,1,1,0.5,2,2,1,1,195,255,1,0.3,0,50,20,3.2
"['Shield Dust', 'Run Away']",Weedle,13,Sp Defense,bug,poison,0.5,1,1,1,0.5,0.25,2,2,1,0.25,1,1,1,0.5,2,2,1,1,195,255,1,0.3,0,50,20,3.2
"['Shield Dust', 'Run Away']",Weedle,13,Speed,bug,poison,0.5,1,1,1,0.5,0.25,2,2,1,0.25,1,1,1,0.5,2,2,1,1,195,255,1,0.3,0,50,50,3.2
['Shed Skin'],Kakuna,14,Attack,bug,poison,0.5,1,1,1,0.5,0.25,2,2,1,0.25,1,1,1,0.5,2,2,1,1,205,120,1,0.6,0,50,25,10
['Shed Skin'],Kakuna,14,Defense,bug,poison,0.5,1,1,1,0.5,0.25,2,2,1,0.25,1,1,1,0.5,2,2,1,1,205,120,1,0.6,0,50,50,10
['Shed Skin'],Kakuna,14,Hp,bug,poison,0.5,1,1,1,0.5,0.25,2,2,1,0.25,1,1,1,0.5,2,2,1,1,205,120,1,0.6,0,50,45,10
['Shed Skin'],Kakuna,14,Sp Attack,bug,poison,0.5,1,1,1,0.5,0.25,2,2,1,0.25,1,1,1,0.5,2,2,1,1,205,120,1,0.6,0,50,25,10
['Shed Skin'],Kakuna,14,Sp Defense,bug,poison,0.5,1,1,1,0.5,0.25,2,2,1,0.25,1,1,1,0.5,2,2,1,1,205,120,1,0.6,0,50,25,10
['Shed Skin'],Kakuna,14,Speed,bug,poison,0.5,1,1,1,0.5,0.25,2,2,1,0.25,1,1,1,0.5,2,2,1,1,205,120,1,0.6,0,50,35,10
"['Swarm', 'Sniper']",Beedrill,15,Attack,bug,poison,0.5,1,1,1,0.5,0.25,2,2,1,0.25,1,1,1,0.5,2,2,1,1,495,45,1,1,0,50,150,29.5
"['Swarm', 'Sniper']",Beedrill,15,Defense,bug,poison,0.5,1,1,1,0.5,0.25,2,2,1,0.25,1,1,1,0.5,2,2,1,1,495,45,1,1,0,50,40,29.5
"['Swarm', 'Sniper']",Beedrill,15,Hp,bug,poison,0.5,1,1,1,0.5,0.25,2,2,1,0.25,1,1,1,0.5,2,2,1,1,495,45,1,1,0,50,65,29.5
"['Swarm', 'Sniper']",Beedrill,15,Sp Attack,bug,poison,0.5,1,1,1,0.5,0.25,2,2,1,0.25,1,1,1,0.5,2,2,1,1,495,45,1,1,0,50,15,29.5
"['Swarm', 'Sniper']",Beedrill,15,Sp Defense,bug,poison,0.5,1,1,1,0.5,0.25,2,2,1,0.25,1,1,1,0.5,2,2,1,1,495,45,1,1,0,50,80,29.5
"['Swarm', 'Sniper']",Beedrill,15,Speed,bug,poison,0.5,1,1,1,0.5,0.25,2,2,1,0.25,1,1,1,0.5,2,2,1,1,495,45,1,1,0,50,145,29.5
"['Keen Eye', 'Tangled Feet', 'Big Pecks']",Pidgey,16,Attack,normal,flying,0.5,1,1,2,1,1,1,1,0,0.5,0,2,1,1,1,2,1,1,251,255,1,0.3,0,50,45,1.8
"['Keen Eye', 'Tangled Feet', 'Big Pecks']",Pidgey,16,Defense,normal,flying,0.5,1,1,2,1,1,1,1,0,0.5,0,2,1,1,1,2,1,1,251,255,1,0.3,0,50,40,1.8
"['Keen Eye', 'Tangled Feet', 'Big Pecks']",Pidgey,16,Hp,normal,flying,0.5,1,1,2,1,1,1,1,0,0.5,0,2,1,1,1,2,1,1,251,255,1,0.3,0,50,40,1.8
"['Keen Eye', 'Tangled Feet', 'Big Pecks']",Pidgey,16,Sp Attack,normal,flying,0.5,1,1,2,1,1,1,1,0,0.5,0,2,1,1,1,2,1,1,251,255,1,0.3,0,50,35,1.8
"['Keen Eye', 'Tangled Feet', 'Big Pecks']",Pidgey,16,Sp Defense,normal,flying,0.5,1,1,2,1,1,1,1,0,0.5,0,2,1,1,1,2,1,1,251,255,1,0.3,0,50,35,1.8
"['Keen Eye', 'Tangled Feet', 'Big Pecks']",Pidgey,16,Speed,normal,flying,0.5,1,1,2,1,1,1,1,0,0.5,0,2,1,1,1,2,1,1,251,255,1,0.3,0,50,56,1.8
"['Keen Eye', 'Tangled Feet', 'Big Pecks']",Pidgeotto,17,Attack,normal,flying,0.5,1,1,2,1,1,1,1,0,0.5,0,2,1,1,1,2,1,1,349,120,1,1.1,0,50,60,30
"['Keen Eye', 'Tangled Feet', 'Big Pecks']",Pidgeotto,17,Defense,normal,flying,0.5,1,1,2,1,1,1,1,0,0.5,0,2,1,1,1,2,1,1,349,120,1,1.1,0,50,55,30
"['Keen Eye', 'Tangled Feet', 'Big Pecks']",Pidgeotto,17,Hp,normal,flying,0.5,1,1,2,1,1,1,1,0,0.5,0,2,1,1,1,2,1,1,349,120,1,1.1,0,50,63,30
"['Keen Eye', 'Tangled Feet', 'Big Pecks']",Pidgeotto,17,Sp Attack,normal,flying,0.5,1,1,2,1,1,1,1,0,0.5,0,2,1,1,1,2,1,1,349,120,1,1.1,0,50,50,30
"['Keen Eye', 'Tangled Feet', 'Big Pecks']",Pidgeotto,17,Sp Defense,normal,flying,0.5,1,1,2,1,1,1,1,0,0.5,0,2,1,1,1,2,1,1,349,120,1,1.1,0,50,50,30
"['Keen Eye', 'Tangled Feet', 'Big Pecks']",Pidgeotto,17,Speed,normal,flying,0.5,1,1,2,1,1,1,1,0,0.5,0,2,1,1,1,2,1,1,349,120,1,1.1,0,50,71,30
"['Keen Eye', 'Tangled Feet', 'Big Pecks']",Pidgeot,18,Attack,normal,flying,0.5,1,1,2,1,1,1,1,0,0.5,0,2,1,1,1,2,1,1,579,45,1,1.5,0,50,80,39.5
"['Keen Eye', 'Tangled Feet', 'Big Pecks']",Pidgeot,18,Defense,normal,flying,0.5,1,1,2,1,1,1,1,0,0.5,0,2,1,1,1,2,1,1,579,45,1,1.5,0,50,80,39.5
"['Keen Eye', 'Tangled Feet', 'Big Pecks']",Pidgeot,18,Hp,normal,flying,0.5,1,1,2,1,1,1,1,0,0.5,0,2,1,1,1,2,1,1,579,45,1,1.5,0,50,83,39.5
"['Keen Eye', 'Tangled Feet', 'Big Pecks']",Pidgeot,18,Sp Attack,normal,flying,0.5,1,1,2,1,1,1,1,0,0.5,0,2,1,1,1,2,1,1,579,45,1,1.5,0,50,135,39.5
"['Keen Eye', 'Tangled Feet', 'Big Pecks']",Pidgeot,18,Sp Defense,normal,flying,0.5,1,1,2,1,1,1,1,0,0.5,0,2,1,1,1,2,1,1,579,45,1,1.5,0,50,80,39.5
"['Keen Eye', 'Tangled Feet', 'Big Pecks']",Pidgeot,18,Speed,normal,flying,0.5,1,1,2,1,1,1,1,0,0.5,0,2,1,1,1,2,1,1,579,45,1,1.5,0,50,121,39.5
"['Run Away', 'Guts', 'Hustle', 'Gluttony', 'Hustle', 'Thick Fat']",Rattata,19,Attack,normal,dark,1,1,1,1,1,2,1,1,0,1,1,1,1,1,1,1,1,1,253,255,1,0.3,0,50,56,3.5
"['Run Away', 'Guts', 'Hustle', 'Gluttony', 'Hustle', 'Thick Fat']",Rattata,19,Defense,normal,dark,1,1,1,1,1,2,1,1,0,1,1,1,1,1,1,1,1,1,253,255,1,0.3,0,50,35,3.5
"['Run Away', 'Guts', 'Hustle', 'Gluttony', 'Hustle', 'Thick Fat']",Rattata,19,Hp,normal,dark,1,1,1,1,1,2,1,1,0,1,1,1,1,1,1,1,1,1,253,255,1,0.3,0,50,30,3.5
"['Run Away', 'Guts', 'Hustle', 'Gluttony', 'Hustle', 'Thick Fat']",Rattata,19,Sp Attack,normal,dark,1,1,1,1,1,2,1,1,0,1,1,1,1,1,1,1,1,1,253,255,1,0.3,0,50,25,3.5
"['Run Away', 'Guts', 'Hustle', 'Gluttony', 'Hustle', 'Thick Fat']",Rattata,19,Sp Defense,normal,dark,1,1,1,1,1,2,1,1,0,1,1,1,1,1,1,1,1,1,253,255,1,0.3,0,50,35,3.5
"['Run Away', 'Guts', 'Hustle', 'Gluttony', 'Hustle', 'Thick Fat']",Rattata,19,Speed,normal,dark,1,1,1,1,1,2,1,1,0,1,1,1,1,1,1,1,1,1,253,255,1,0.3,0,50,72,3.5
"['Run Away', 'Guts', 'Hustle', 'Gluttony', 'Hustle', 'Thick Fat']",Raticate,20,Attack,normal,dark,1,1,1,1,1,2,1,1,0,1,1,1,1,1,1,1,1,1,413,127,1,0.7,0,50,71,18.5
"['Run Away', 'Guts', 'Hustle', 'Gluttony', 'Hustle', 'Thick Fat']",Raticate,20,Defense,normal,dark,1,1,1,1,1,2,1,1,0,1,1,1,1,1,1,1,1,1,413,127,1,0.7,0,50,70,18.5
"['Run Away', 'Guts', 'Hustle', 'Gluttony', 'Hustle', 'Thick Fat']",Raticate,20,Hp,normal,dark,1,1,1,1,1,2,1,1,0,1,1,1,1,1,1,1,1,1,413,127,1,0.7,0,50,75,18.5
"['Run Away', 'Guts', 'Hustle', 'Gluttony', 'Hustle', 'Thick Fat']",Raticate,20,Sp Attack,normal,dark,1,1,1,1,1,2,1,1,0,1,1,1,1,1,1,1,1,1,413,127,1,0.7,0,50,40,18.5
"['Run Away', 'Guts', 'Hustle', 'Gluttony', 'Hustle', 'Thick Fat']",Raticate,20,Sp Defense,normal,dark,1,1,1,1,1,2,1,1,0,1,1,1,1,1,1,1,1,1,413,127,1,0.7,0,50,80,18.5
"['Run Away', 'Guts', 'Hustle', 'Gluttony', 'Hustle', 'Thick Fat']",Raticate,20,Speed,normal,dark,1,1,1,1,1,2,1,1,0,1,1,1,1,1,1,1,1,1,413,127,1,0.7,0,50,77,18.5
"['Keen Eye', 'Sniper']",Spearow,21,Attack,normal,flying,0.5,1,1,2,1,1,1,1,0,0.5,0,2,1,1,1,2,1,1,262,255,1,0.3,0,50,60,2
"['Keen Eye', 'Sniper']",Spearow,21,Defense,normal,flying,0.5,1,1,2,1,1,1,1,0,0.5,0,2,1,1,1,2,1,1,262,255,1,0.3,0,50,30,2
"['Keen Eye', 'Sniper']",Spearow,21,Hp,normal,flying,0.5,1,1,2,1,1,1,1,0,0.5,0,2,1,1,1,2,1,1,262,255,1,0.3,0,50,40,2
"['Keen Eye', 'Sniper']",Spearow,21,Sp Attack,normal,flying,0.5,1,1,2,1,1,1,1,0,0.5,0,2,1,1,1,2,1,1,262,255,1,0.3,0,50,31,2
"['Keen Eye', 'Sniper']",Spearow,21,Sp Defense,normal,flying,0.5,1,1,2,1,1,1,1,0,0.5,0,2,1,1,1,2,1,1,262,255,1,0.3,0,50,31,2
"['Keen Eye', 'Sniper']",Spearow,21,Speed,normal,flying,0.5,1,1,2,1,1,1,1,0,0.5,0,2,1,1,1,2,1,1,262,255,1,0.3,0,50,70,2
"['Keen Eye', 'Sniper']",Fearow,22,Attack,normal,flying,0.5,1,1,2,1,1,1,1,0,0.5,0,2,1,1,1,2,1,1,442,90,1,1.2,0,50,90,38
"['Keen Eye', 'Sniper']",Fearow,22,Defense,normal,flying,0.5,1,1,2,1,1,1,1,0,0.5,0,2,1,1,1,2,1,1,442,90,1,1.2,0,50,65,38
"['Keen Eye', 'Sniper']",Fearow,22,Hp,normal,flying,0.5,1,1,2,1,1,1,1,0,0.5,0,2,1,1,1,2,1,1,442,90,1,1.2,0,50,65,38
"['Keen Eye', 'Sniper']",Fearow,22,Sp Attack,normal,flying,0.5,1,1,2,1,1,1,1,0,0.5,0,2,1,1,1,2,1,1,442,90,1,1.2,0,50,61,38
"['Keen Eye', 'Sniper']",Fearow,22,Sp Defense,normal,flying,0.5,1,1,2,1,1,1,1,0,0.5,0,2,1,1,1,2,1,1,442,90,1,1.2,0,50,61,38
"['Keen Eye', 'Sniper']",Fearow,22,Speed,normal,flying,0.5,1,1,2,1,1,1,1,0,0.5,0,2,1,1,1,2,1,1,442,90,1,1.2,0,50,100,38
"['Intimidate', 'Shed Skin', 'Unnerve']",Ekans,23,Attack,poison,,0.5,1,1,1,0.5,0.5,1,1,1,0.5,2,1,1,0.5,2,1,1,1,288,255,1,2,0,50,60,6.9
"['Intimidate', 'Shed Skin', 'Unnerve']",Ekans,23,Defense,poison,,0.5,1,1,1,0.5,0.5,1,1,1,0.5,2,1,1,0.5,2,1,1,1,288,255,1,2,0,50,44,6.9
