"pokedex_number";"name";"type1";"type2";"generation";"percentage_male";"capture_rate";"is_legendary";"is_mythic";"is_ultra_beast";"height_m";"weight_kg";"base_total";"hp";"attack";"sp_attack";"defense";"sp_defense";"speed";"abilities";"against_bug";"against_dark";"against_dragon";"against_electric";"against_fairy";"against_fight";"against_fire";"against_flying";"against_ghost";"against_grass";"against_ground";"against_ice";"against_normal";"against_poison";"against_psychic";"against_rock";"against_steel";"against_water"
38;"Ninetales";"fire";"ice";1;24.6;75;0;0;0;1.1;20.0;505;73;67;81;75;100;109;"['Flash Fire', 'Drought', 'Snow Cloak', 'Snow Warning']";0.5;1.0;1.0;1.0;0.5;1.0;0.5;1.0;1.0;0.5;2.0;0.5;1.0;1.0;1.0;2.0;0.5;2.0
39;"Jigglypuff";"normal";"fairy";1;24.6;170;0;0;0;0.5;5.5;270;115;45;45;20;25;20;"['Cute Charm', 'Competitive', 'Friend Guard']";0.5;0.5;0.0;1.0;1.0;1.0;1.0;1.0;0.0;1.0;1.0;1.0;1.0;2.0;1.0;1.0;2.0;1.0
40;"Wigglytuff";"normal";"fairy";1;24.6;50;0;0;0;1.0;12.0;435;140;70;85;45;50;45;"['Cute Charm', 'Competitive', 'Frisk']";0.5;0.5;0.0;1.0;1.0;1.0;1.0;1.0;0.0;1.0;1.0;1.0;1.0;2.0;1.0;1.0;2.0;1.0
41;"Zubat";"poison";"flying";1;50.0;255;0;0;0;0.8;7.5;245;40;45;30;35;40;55;"['Inner Focus', 'Infiltrator']";0.25;1.0;1.0;2.0;0.5;0.25;1.0;1.0;1.0;0.25;0.0;2.0;1.0;0.5;2.0;2.0;1.0;1.0
42;"Golbat";"poison";"flying";1;50.0;90;0;0;0;1.6;55.0;455;75;80;65;70;75;90;"['Inner Focus', 'Infiltrator']";0.25;1.0;1.0;2.0;0.5;0.25;1.0;1.0;1.0;0.25;0.0;2.0;1.0;0.5;2.0;2.0;1.0;1.0
43;"Oddish";"grass";"poison";1;50.0;255;0;0;0;0.5;5.4;320;45;50;75;55;65;30;"['Chlorophyll', 'Run Away']";1.0;1.0;1.0;0.5;0.5;0.5;2.0;2.0;1.0;0.25;1.0;2.0;1.0;1.0;2.0;1.0;1.0;0.5
44;"Gloom";"grass";"poison";1;50.0;120;0;0;0;0.8;8.6;395;60;65;85;70;75;40;"['Chlorophyll', 'Stench']";1.0;1.0;1.0;0.5;0.5;0.5;2.0;2.0;1.0;0.25;1.0;2.0;1.0;1.0;2.0;1.0;1.0;0.5
45;"Vileplume";"grass";"poison";1;50.0;45;0;0;0;1.2;18.6;490;75;80;110;85;90;50;"['Chlorophyll', 'Effect Spore']";1.0;1.0;1.0;0.5;0.5;0.5;2.0;2.0;1.0;0.25;1.0;2.0;1.0;1.0;2.0;1.0;1.0;0.5
46;"Paras";"bug";"grass";1;50.0;190;0;0;0;0.3;5.4;285;35;70;45;55;55;25;"['Effect Spore', 'Dry Skin', 'Damp']";2.0;1.0;1.0;0.5;1.0;0.5;4.0;4.0;1.0;0.25;0.25;2.0;1.0;2.0;1.0;2.0;1.0;0.5
47;"Parasect";"bug";"grass";1;50.0;75;0;0;0;1.0;29.5;405;60;95;60;80;80;30;"['Effect Spore', 'Dry Skin', 'Damp']";2.0;1.0;1.0;0.5;1.0;0.5;4.0;4.0;1.0;0.25;0.25;2.0;1.0;2.0;1.0;2.0;1.0;0.5
48;"Venonat";"bug";"poison";1;50.0;190;0;0;0;1.0;30.0;305;60;55;40;50;55;45;"['Compoundeyes', 'Tinted Lens', 'Run Away']";0.5;1.0;1.0;1.0;0.5;0.25;2.0;2.0;1.0;0.25;1.0;1.0;1.0;0.5;2.0;2.0;1.0;1.0
49;"Venomoth";"bug";"poison";1;50.0;75;0;0;0;1.5;12.5;450;70;65;90;60;75;90;"['Shield Dust', 'Tinted Lens', 'Wonder Skin ']";0.5;1.0;1.0;1.0;0.5;0.25;2.0;2.0;1.0;0.25;1.0;1.0;1.0;0.5;2.0;2.0;1.0;1.0
50;"Diglett";"ground";"ground";1;50.0;255;0;0;0;0.2;0.8;265;10;55;35;30;45;90;"['Sand Veil', 'Arena Trap', 'Sand Force', 'Sand Veil', 'Tangling Hair', 'Sand Force']";1.0;1.0;1.0;0.0;1.0;1.0;1.0;1.0;1.0;2.0;1.0;2.0;1.0;0.5;1.0;0.5;1.0;2.0
51;"Dugtrio";"ground";"ground";1;50.0;50;0;0;0;0.7;33.3;425;35;100;50;60;70;110;"['Sand Veil', 'Arena Trap', 'Sand Force', 'Sand Veil', 'Tangling Hair', 'Sand Force']";1.0;1.0;1.0;0.0;1.0;1.0;1.0;1.0;1.0;2.0;1.0;2.0;1.0;0.5;1.0;0.5;1.0;2.0
52;"Meowth";"normal";"dark";1;50.0;255;0;0;0;0.4;4.2;290;40;35;50;35;40;90;"['Pickup', 'Technician', 'Unnerve', 'Pickup', 'Technician', 'Rattled']";1.0;1.0;1.0;1.0;1.0;2.0;1.0;1.0;0.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0
53;"Persian";"normal";"dark";1;50.0;90;0;0;0;1.0;32.0;440;65;60;75;60;65;115;"['Limber', 'Technician', 'Unnerve', 'Fur Coat', 'Technician', 'Rattled']";1.0;1.0;1.0;1.0;1.0;2.0;1.0;1.0;0.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0
54;"Psyduck";"water";"";1;50.0;190;0;0;0;0.8;19.6;320;50;52;65;48;50;55;"['Damp', 'Cloud Nine', 'Swift Swim']";1.0;1.0;1.0;2.0;1.0;1.0;0.5;1.0;1.0;2.0;1.0;0.5;1.0;1.0;1.0;1.0;0.5;0.5
55;"Golduck";"water";"";1;50.0;75;0;0;0;1.7;76.6;500;80;82;95;78;80;85;"['Damp', 'Cloud Nine', 'Swift Swim']";1.0;1.0;1.0;2.0;1.0;1.0;0.5;1.0;1.0;2.0;1.0;0.5;1.0;1.0;1.0;1.0;0.5;0.5
56;"Mankey";"fighting";"";1;50.0;190;0;0;0;0.5;28.0;305;40;80;35;35;45;70;"['Vital Spirit', 'Anger Point', 'Defiant']";0.5;0.5;1.0;1.0;2.0;1.0;1.0;2.0;1.0;1.0;1.0;1.0;1.0;1.0;2.0;0.5;1.0;1.0
57;"Primeape";"fighting";"";1;50.0;75;0;0;0;1.0;32.0;455;65;105;60;60;70;95;"['Vital Spirit', 'Anger Point', 'Defiant']";0.5;0.5;1.0;1.0;2.0;1.0;1.0;2.0;1.0;1.0;1.0;1.0;1.0;1.0;2.0;0.5;1.0;1.0
58;"Growlithe";"fire";"";1;75.4;190;0;0;0;0.7;19.0;350;55;70;70;45;50;60;"['Intimidate', 'Flash Fire', 'Justified']";0.5;1.0;1.0;1.0;0.5;1.0;0.5;1.0;1.0;0.5;2.0;0.5;1.0;1.0;1.0;2.0;0.5;2.0
59;"Arcanine";"fire";"";1;75.4;75;0;0;0;1.9;155.0;555;90;110;100;80;80;95;"['Intimidate', 'Flash Fire', 'Justified']";0.5;1.0;1.0;1.0;0.5;1.0;0.5;1.0;1.0;0.5;2.0;0.5;1.0;1.0;1.0;2.0;0.5;2.0
60;"Poliwag";"water";"";1;50.0;255;0;0;0;0.6;12.4;300;40;50;40;40;40;90;"['Water Absorb', 'Damp', 'Swift Swim']";1.0;1.0;1.0;2.0;1.0;1.0;0.5;1.0;1.0;2.0;1.0;0.5;1.0;1.0;1.0;1.0;0.5;0.5
61;"Poliwhirl";"water";"";1;50.0;120;0;0;0;1.0;20.0;385;65;65;50;65;50;90;"['Water Absorb', 'Damp', 'Swift Swim']";1.0;1.0;1.0;2.0;1.0;1.0;0.5;1.0;1.0;2.0;1.0;0.5;1.0;1.0;1.0;1.0;0.5;0.5
62;"Poliwrath";"water";"fighting";1;50.0;45;0;0;0;1.3;54.0;510;90;95;70;95;90;70;"['Water Absorb', 'Damp', 'Swift Swim']";0.5;0.5;1.0;2.0;2.0;1.0;0.5;2.0;1.0;2.0;1.0;0.5;1.0;1.0;2.0;0.5;0.5;0.5
63;"Abra";"psychic";"";1;75.4;200;0;0;0;0.9;19.5;310;25;20;105;15;55;90;"['Synchronize', 'Inner Focus', 'Magic Guard']";2.0;2.0;1.0;1.0;1.0;0.5;1.0;1.0;2.0;1.0;1.0;1.0;1.0;1.0;0.5;1.0;1.0;1.0
64;"Kadabra";"psychic";"";1;75.4;100;0;0;0;1.3;56.5;400;40;35;120;30;70;105;"['Synchronize', 'Inner Focus', 'Magic Guard']";2.0;2.0;1.0;1.0;1.0;0.5;1.0;1.0;2.0;1.0;1.0;1.0;1.0;1.0;0.5;1.0;1.0;1.0
65;"Alakazam";"psychic";"";1;75.4;50;0;0;0;1.5;48.0;600;55;50;175;65;105;150;"['Synchronize', 'Inner Focus', 'Magic Guard']";2.0;2.0;1.0;1.0;1.0;0.5;1.0;1.0;2.0;1.0;1.0;1.0;1.0;1.0;0.5;1.0;1.0;1.0
66;"Machop";"fighting";"";1;75.4;180;0;0;0;0.8;19.5;305;70;80;35;50;35;35;"['Guts', 'No Guard', 'Steadfast']";0.5;0.5;1.0;1.0;2.0;1.0;1.0;2.0;1.0;1.0;1.0;1.0;1.0;1.0;2.0;0.5;1.0;1.0
67;"Machoke";"fighting";"";1;75.4;90;0;0;0;1.5;70.5;405;80;100;50;70;60;45;"['Guts', 'No Guard', 'Steadfast']";0.5;0.5;1.0;1.0;2.0;1.0;1.0;2.0;1.0;1.0;1.0;1.0;1.0;1.0;2.0;0.5;1.0;1.0
68;"Machamp";"fighting";"";1;75.4;45;0;0;0;1.6;130.0;505;90;130;65;80;85;55;"['Guts', 'No Guard', 'Steadfast']";0.5;0.5;1.0;1.0;2.0;1.0;1.0;2.0;1.0;1.0;1.0;1.0;1.0;1.0;2.0;0.5;1.0;1.0
69;"Bellsprout";"grass";"poison";1;50.0;255;0;0;0;0.7;4.0;300;50;75;70;35;30;40;"['Chlorophyll', 'Gluttony']";1.0;1.0;1.0;0.5;0.5;0.5;2.0;2.0;1.0;0.25;1.0;2.0;1.0;1.0;2.0;1.0;1.0;0.5
70;"Weepinbell";"grass";"poison";1;50.0;120;0;0;0;1.0;6.4;390;65;90;85;50;45;55;"['Chlorophyll', 'Gluttony']";1.0;1.0;1.0;0.5;0.5;0.5;2.0;2.0;1.0;0.25;1.0;2.0;1.0;1.0;2.0;1.0;1.0;0.5
71;"Victreebel";"grass";"poison";1;50.0;45;0;0;0;1.7;15.5;490;80;105;100;65;70;70;"['Chlorophyll', 'Gluttony']";1.0;1.0;1.0;0.5;0.5;0.5;2.0;2.0;1.0;0.25;1.0;2.0;1.0;1.0;2.0;1.0;1.0;0.5
72;"Tentacool";"water";"poison";1;50.0;190;0;0;0;0.9;45.5;335;40;40;50;35;100;70;"['Clear Body', 'Liquid Ooze', 'Rain Dish']";0.5;1.0;1.0;2.0;0.5;0.5;0.5;1.0;1.0;1.0;2.0;0.5;1.0;0.5;2.0;1.0;0.5;0.5
73;"Tentacruel";"water";"poison";1;50.0;60;0;0;0;1.6;55.0;515;80;70;80;65;120;100;"['Clear Body', 'Liquid Ooze', 'Rain Dish']";0.5;1.0;1.0;2.0;0.5;0.5;0.5;1.0;1.0;1.0;2.0;0.5;1.0;0.5;2.0;1.0;0.5;0.5
74;"Geodude";"rock";"ground";1;50.0;255;0;0;0;0.4;20.0;300;40;80;30;100;30;20;"['Rock Head', 'Sturdy', 'Sand Veil', 'Magnet Pull', 'Sturdy', 'Galvanize']";1.0;1.0;1.0;0.0;1.0;2.0;0.5;0.5;1.0;4.0;2.0;2.0;0.5;0.25;1.0;0.5;2.0;4.0
75;"Graveler";"rock";"ground";1;50.0;120;0;0;0;1.0;105.0;390;55;95;45;115;45;35;"['Rock Head', 'Sturdy', 'Sand Veil', 'Magnet Pull', 'Sturdy', 'Galvanize']";1.0;1.0;1.0;0.0;1.0;2.0;0.5;0.5;1.0;4.0;2.0;2.0;0.5;0.25;1.0;0.5;2.0;4.0
76;"Golem";"rock";"ground";1;50.0;45;0;0;0;1.4;300.0;495;80;120;55;130;65;45;"['Rock Head', 'Sturdy', 'Sand Veil', 'Magnet Pull', 'Sturdy', 'Galvanize']";1.0;1.0;1.0;0.0;1.0;2.0;0.5;0.5;1.0;4.0;2.0;2.0;0.5;0.25;1.0;0.5;2.0;4.0
77;"Ponyta";"fire";"";1;50.0;190;0;0;0;1.0;30.0;410;50;85;65;55;65;90;"['Run Away', 'Flash Fire', 'Flame Body']";0.5;1.0;1.0;1.0;0.5;1.0;0.5;1.0;1.0;0.5;2.0;0.5;1.0;1.0;1.0;2.0;0.5;2.0
78;"Rapidash";"fire";"";1;50.0;60;0;0;0;1.7;95.0;500;65;100;80;70;80;105;"['Run Away', 'Flash Fire', 'Flame Body']";0.5;1.0;1.0;1.0;0.5;1.0;0.5;1.0;1.0;0.5;2.0;0.5;1.0;1.0;1.0;2.0;0.5;2.0
79;"Slowpoke";"water";"psychic";1;50.0;190;0;0;0;1.2;36.0;315;90;65;40;65;40;15;"['Oblivious', 'Own Tempo', 'Regenerator']";2.0;2.0;1.0;2.0;1.0;0.5;0.5;1.0;2.0;2.0;1.0;0.5;1.0;1.0;0.5;1.0;0.5;0.5
80;"Slowbro";"water";"psychic";1;50.0;75;0;0;0;1.6;78.5;590;95;75;130;180;80;30;"['Oblivious', 'Own Tempo', 'Regenerator']";2.0;2.0;1.0;2.0;1.0;0.5;0.5;1.0;2.0;2.0;1.0;0.5;1.0;1.0;0.5;1.0;0.5;0.5
81;"Magnemite";"electric";"steel";1;0.0;190;0;0;0;0.3;6.0;325;25;35;95;70;55;45;"['Magnet Pull', 'Sturdy', 'Analytic']";0.5;1.0;0.5;0.5;0.5;2.0;2.0;0.25;1.0;0.5;4.0;0.5;0.5;0.0;0.5;0.5;0.25;1.0
82;"Magneton";"electric";"steel";1;0.0;60;0;0;0;1.0;60.0;465;50;60;120;95;70;70;"['Magnet Pull', 'Sturdy', 'Analytic']";0.5;1.0;0.5;0.5;0.5;2.0;2.0;0.25;1.0;0.5;4.0;0.5;0.5;0.0;0.5;0.5;0.25;1.0
83;"Farfetch'd";"normal";"flying";1;50.0;45;0;0;0;0.8;15.0;377;52;90;58;55;62;60;"['Keen Eye', 'Inner Focus', 'Defiant']";0.5;1.0;1.0;2.0;1.0;1.0;1.0;1.0;0.0;0.5;0.0;2.0;1.0;1.0;1.0;2.0;1.0;1.0
84;"Doduo";"normal";"flying";1;50.0;190;0;0;0;1.4;39.2;310;35;85;35;45;35;75;"['Run Away', 'Early Bird', 'Tangled Feet']";0.5;1.0;1.0;2.0;1.0;1.0;1.0;1.0;0.0;0.5;0.0;2.0;1.0;1.0;1.0;2.0;1.0;1.0
85;"Dodrio";"normal";"flying";1;50.0;45;0;0;0;1.8;85.2;470;60;110;60;70;60;110;"['Run Away', 'Early Bird', 'Tangled Feet']";0.5;1.0;1.0;2.0;1.0;1.0;1.0;1.0;0.0;0.5;0.0;2.0;1.0;1.0;1.0;2.0;1.0;1.0
86;"Seel";"water";"";1;50.0;190;0;0;0;1.1;90.0;325;65;45;45;55;70;45;"['Thick Fat', 'Hydration', 'Ice Body']";1.0;1.0;1.0;2.0;1.0;1.0;0.5;1.0;1.0;2.0;1.0;0.5;1.0;1.0;1.0;1.0;0.5;0.5
87;"Dewgong";"water";"ice";1;50.0;75;0;0;0;1.7;120.0;475;90;70;70;80;95;70;"['Thick Fat', 'Hydration', 'Ice Body']";1.0;1.0;1.0;2.0;1.0;2.0;1.0;1.0;1.0;2.0;1.0;0.25;1.0;1.0;1.0;2.0;1.0;0.5
88;"Grimer";"poison";"poison";1;50.0;190;0;0;0;0.9;30.0;325;80;80;40;50;50;25;"['Stench', 'Sticky Hold', 'Poison Touch', 'Poison Touch', 'Gluttony', 'Power of Alchemy']";0.5;1.0;1.0;1.0;0.5;0.5;1.0;1.0;1.0;0.5;2.0;1.0;1.0;0.5;2.0;1.0;1.0;1.0
89;"Muk";"poison";"poison";1;50.0;75;0;0;0;1.2;30.0;500;105;105;65;75;100;50;"['Stench', 'Sticky Hold', 'Poison Touch', 'Poison Touch', 'Gluttony', 'Power of Alchemy']";0.5;1.0;1.0;1.0;0.5;0.5;1.0;1.0;1.0;0.5;2.0;1.0;1.0;0.5;2.0;1.0;1.0;1.0
