Abilities,Name,Pokedex Number,Type,Types1&2 Name,Against Bug,Against Dark,Against Dragon,Against Electric,Against Fairy,Against Fight,Against Fire,Against Flying,Against Ghost,Against Grass,Against Ground,Against Ice,Against Normal,Against Poison,Against Psychic,Against Rock,Against Steel,Against Water,Attack,Base Total,Capture Rate,Defense,Generation,Height M,Hp,Is Legendary,Is Mythic,Is Ultra Beast,Percentage Male,Sp Attack,Sp Defense,Speed,Weight Kg
"['Torrent', 'Rain Dish']",Squirtle,7,water,Type1,1,1,1,2,1,1,0.5,1,1,2,1,0.5,1,1,1,1,0.5,0.5,48,314,45,65,1,0.5,44,0,0,0,88.1,50,64,43,9
"['Torrent', 'Rain Dish']",Squirtle,7,,Type2,1,1,1,2,1,1,0.5,1,1,2,1,0.5,1,1,1,1,0.5,0.5,48,314,45,65,1,0.5,44,0,0,0,88.1,50,64,43,9
"['Torrent', 'Rain Dish']",Wartortle,8,water,Type1,1,1,1,2,1,1,0.5,1,1,2,1,0.5,1,1,1,1,0.5,0.5,63,405,45,80,1,1,59,0,0,0,88.1,65,80,58,22.5
"['Torrent', 'Rain Dish']",Wartortle,8,,Type2,1,1,1,2,1,1,0.5,1,1,2,1,0.5,1,1,1,1,0.5,0.5,63,405,45,80,1,1,59,0,0,0,88.1,65,80,58,22.5
"['Torrent', 'Rain Dish']",Blastoise,9,water,Type1,1,1,1,2,1,1,0.5,1,1,2,1,0.5,1,1,1,1,0.5,0.5,103,630,45,120,1,1.6,79,0,0,0,88.1,135,115,78,85.5
"['Torrent', 'Rain Dish']",Blastoise,9,,Type2,1,1,1,2,1,1,0.5,1,1,2,1,0.5,1,1,1,1,0.5,0.5,103,630,45,120,1,1.6,79,0,0,0,88.1,135,115,78,85.5
"['Shield Dust', 'Run Away']",Caterpie,10,bug,Type1,1,1,1,1,1,0.5,2,2,1,0.5,0.5,1,1,1,1,2,1,1,30,195,255,35,1,0.3,45,0,0,0,50,20,20,45,2.9
"['Shield Dust', 'Run Away']",Caterpie,10,,Type2,1,1,1,1,1,0.5,2,2,1,0.5,0.5,1,1,1,1,2,1,1,30,195,255,35,1,0.3,45,0,0,0,50,20,20,45,2.9
['Shed Skin'],Metapod,11,bug,Type1,1,1,1,1,1,0.5,2,2,1,0.5,0.5,1,1,1,1,2,1,1,20,205,120,55,1,0.7,50,0,0,0,50,25,25,30,9.9
['Shed Skin'],Metapod,11,,Type2,1,1,1,1,1,0.5,2,2,1,0.5,0.5,1,1,1,1,2,1,1,20,205,120,55,1,0.7,50,0,0,0,50,25,25,30,9.9
"['Compoundeyes', 'Tinted Lens']",Butterfree,12,bug,Type1,0.5,1,1,2,1,0.25,2,2,1,0.25,0,2,1,1,1,4,1,1,45,395,45,50,1,1.1,60,0,0,0,50,90,80,70,32
"['Compoundeyes', 'Tinted Lens']",Butterfree,12,flying,Type2,0.5,1,1,2,1,0.25,2,2,1,0.25,0,2,1,1,1,4,1,1,45,395,45,50,1,1.1,60,0,0,0,50,90,80,70,32
"['Shield Dust', 'Run Away']",Weedle,13,bug,Type1,0.5,1,1,1,0.5,0.25,2,2,1,0.25,1,1,1,0.5,2,2,1,1,35,195,255,30,1,0.3,40,0,0,0,50,20,20,50,3.2
"['Shield Dust', 'Run Away']",Weedle,13,poison,Type2,0.5,1,1,1,0.5,0.25,2,2,1,0.25,1,1,1,0.5,2,2,1,1,35,195,255,30,1,0.3,40,0,0,0,50,20,20,50,3.2
['Shed Skin'],Kakuna,14,bug,Type1,0.5,1,1,1,0.5,0.25,2,2,1,0.25,1,1,1,0.5,2,2,1,1,25,205,120,50,1,0.6,45,0,0,0,50,25,25,35,10
['Shed Skin'],Kakuna,14,poison,Type2,0.5,1,1,1,0.5,0.25,2,2,1,0.25,1,1,1,0.5,2,2,1,1,25,205,120,50,1,0.6,45,0,0,0,50,25,25,35,10
"['Swarm', 'Sniper']",Beedrill,15,bug,Type1,0.5,1,1,1,0.5,0.25,2,2,1,0.25,1,1,1,0.5,2,2,1,1,150,495,45,40,1,1,65,0,0,0,50,15,80,145,29.5
"['Swarm', 'Sniper']",Beedrill,15,poison,Type2,0.5,1,1,1,0.5,0.25,2,2,1,0.25,1,1,1,0.5,2,2,1,1,150,495,45,40,1,1,65,0,0,0,50,15,80,145,29.5
"['Keen Eye', 'Tangled Feet', 'Big Pecks']",Pidgey,16,normal,Type1,0.5,1,1,2,1,1,1,1,0,0.5,0,2,1,1,1,2,1,1,45,251,255,40,1,0.3,40,0,0,0,50,35,35,56,1.8
"['Keen Eye', 'Tangled Feet', 'Big Pecks']",Pidgey,16,flying,Type2,0.5,1,1,2,1,1,1,1,0,0.5,0,2,1,1,1,2,1,1,45,251,255,40,1,0.3,40,0,0,0,50,35,35,56,1.8
"['Keen Eye', 'Tangled Feet', 'Big Pecks']",Pidgeotto,17,normal,Type1,0.5,1,1,2,1,1,1,1,0,0.5,0,2,1,1,1,2,1,1,60,349,120,55,1,1.1,63,0,0,0,50,50,50,71,30
"['Keen Eye', 'Tangled Feet', 'Big Pecks']",Pidgeotto,17,flying,Type2,0.5,1,1,2,1,1,1,1,0,0.5,0,2,1,1,1,2,1,1,60,349,120,55,1,1.1,63,0,0,0,50,50,50,71,30
"['Keen Eye', 'Tangled Feet', 'Big Pecks']",Pidgeot,18,normal,Type1,0.5,1,1,2,1,1,1,1,0,0.5,0,2,1,1,1,2,1,1,80,579,45,80,1,1.5,83,0,0,0,50,135,80,121,39.5
"['Keen Eye', 'Tangled Feet', 'Big Pecks']",Pidgeot,18,flying,Type2,0.5,1,1,2,1,1,1,1,0,0.5,0,2,1,1,1,2,1,1,80,579,45,80,1,1.5,83,0,0,0,50,135,80,121,39.5
"['Run Away', 'Guts', 'Hustle', 'Gluttony', 'Hustle', 'Thick Fat']",Rattata,19,normal,Type1,1,1,1,1,1,2,1,1,0,1,1,1,1,1,1,1,1,1,56,253,255,35,1,0.3,30,0,0,0,50,25,35,72,3.5
"['Run Away', 'Guts', 'Hustle', 'Gluttony', 'Hustle', 'Thick Fat']",Rattata,19,dark,Type2,1,1,1,1,1,2,1,1,0,1,1,1,1,1,1,1,1,1,56,253,255,35,1,0.3,30,0,0,0,50,25,35,72,3.5
"['Run Away', 'Guts', 'Hustle', 'Gluttony', 'Hustle', 'Thick Fat']",Raticate,20,normal,Type1,1,1,1,1,1,2,1,1,0,1,1,1,1,1,1,1,1,1,71,413,127,70,1,0.7,75,0,0,0,50,40,80,77,18.5
"['Run Away', 'Guts', 'Hustle', 'Gluttony', 'Hustle', 'Thick Fat']",Raticate,20,dark,Type2,1,1,1,1,1,2,1,1,0,1,1,1,1,1,1,1,1,1,71,413,127,70,1,0.7,75,0,0,0,50,40,80,77,18.5
"['Keen Eye', 'Sniper']",Spearow,21,normal,Type1,0.5,1,1,2,1,1,1,1,0,0.5,0,2,1,1,1,2,1,1,60,262,255,30,1,0.3,40,0,0,0,50,31,31,70,2
"['Keen Eye', 'Sniper']",Spearow,21,flying,Type2,0.5,1,1,2,1,1,1,1,0,0.5,0,2,1,1,1,2,1,1,60,262,255,30,1,0.3,40,0,0,0,50,31,31,70,2
"['Keen Eye', 'Sniper']",Fearow,22,normal,Type1,0.5,1,1,2,1,1,1,1,0,0.5,0,2,1,1,1,2,1,1,90,442,90,65,1,1.2,65,0,0,0,50,61,61,100,38
"['Keen Eye', 'Sniper']",Fearow,22,flying,Type2,0.5,1,1,2,1,1,1,1,0,0.5,0,2,1,1,1,2,1,1,90,442,90,65,1,1.2,65,0,0,0,50,61,61,100,38
"['Intimidate', 'Shed Skin', 'Unnerve']",Ekans,23,poison,Type1,0.5,1,1,1,0.5,0.5,1,1,1,0.5,2,1,1,0.5,2,1,1,1,60,288,255,44,1,2,35,0,0,0,50,40,54,55,6.9
"['Intimidate', 'Shed Skin', 'Unnerve']",Ekans,23,,Type2,0.5,1,1,1,0.5,0.5,1,1,1,0.5,2,1,1,0.5,2,1,1,1,60,288,255,44,1,2,35,0,0,0,50,40,54,55,6.9
"['Intimidate', 'Shed Skin', 'Unnerve']",Arbok,24,poison,Type1,0.5,1,1,1,0.5,0.5,1,1,1,0.5,2,1,1,0.5,2,1,1,1,95,448,90,69,1,3.5,60,0,0,0,50,65,79,80,65
"['Intimidate', 'Shed Skin', 'Unnerve']",Arbok,24,,Type2,0.5,1,1,1,0.5,0.5,1,1,1,0.5,2,1,1,0.5,2,1,1,1,95,448,90,69,1,3.5,60,0,0,0,50,65,79,80,65
"['Static', 'Lightningrod']",Pikachu,25,electric,Type1,1,1,1,0.5,1,1,1,0.5,1,1,2,1,1,1,1,1,0.5,1,55,320,190,40,1,0.4,35,0,0,0,50,50,50,90,6
"['Static', 'Lightningrod']",Pikachu,25,,Type2,1,1,1,0.5,1,1,1,0.5,1,1,2,1,1,1,1,1,0.5,1,55,320,190,40,1,0.4,35,0,0,0,50,50,50,90,6
"['Static', 'Lightningrod', 'Surge Surfer']",Raichu,26,electric,Type1,1,1,1,0.5,1,1,1,0.5,1,1,2,1,1,1,1,1,0.5,1,85,485,75,50,1,0.8,60,0,0,0,50,95,85,110,30
"['Static', 'Lightningrod', 'Surge Surfer']",Raichu,26,electric,Type2,1,1,1,0.5,1,1,1,0.5,1,1,2,1,1,1,1,1,0.5,1,85,485,75,50,1,0.8,60,0,0,0,50,95,85,110,30
"['Sand Veil', 'Sand Rush', 'Snow Cloak', 'Slush Rush']",Sandshrew,27,ground,Type1,1,1,1,0,1,1,1,1,1,2,1,2,1,0.5,1,0.5,1,2,75,300,255,90,1,0.6,50,0,0,0,50,10,35,40,12
"['Sand Veil', 'Sand Rush', 'Snow Cloak', 'Slush Rush']",Sandshrew,27,ice,Type2,1,1,1,0,1,1,1,1,1,2,1,2,1,0.5,1,0.5,1,2,75,300,255,90,1,0.6,50,0,0,0,50,10,35,40,12
"['Sand Veil', 'Sand Rush', 'Snow Cloak', 'Slush Rush']",Sandslash,28,ground,Type1,1,1,1,0,1,1,1,1,1,2,1,2,1,0.5,1,0.5,1,2,100,450,90,120,1,1,75,0,0,0,50,25,65,65,29.5
"['Sand Veil', 'Sand Rush', 'Snow Cloak', 'Slush Rush']",Sandslash,28,ice,Type2,1,1,1,0,1,1,1,1,1,2,1,2,1,0.5,1,0.5,1,2,100,450,90,120,1,1,75,0,0,0,50,25,65,65,29.5
"['Poison Point', 'Rivalry', 'Hustle']",Nidoran Female,29,poison,Type1,0.5,1,1,1,0.5,0.5,1,1,1,0.5,2,1,1,0.5,2,1,1,1,47,275,235,52,1,0.4,55,0,0,0,0,40,40,41,7
"['Poison Point', 'Rivalry', 'Hustle']",Nidoran Female,29,,Type2,0.5,1,1,1,0.5,0.5,1,1,1,0.5,2,1,1,0.5,2,1,1,1,47,275,235,52,1,0.4,55,0,0,0,0,40,40,41,7
"['Poison Point', 'Rivalry', 'Hustle']",Nidorina,30,poison,Type1,0.5,1,1,1,0.5,0.5,1,1,1,0.5,2,1,1,0.5,2,1,1,1,62,365,120,67,1,0.8,70,0,0,0,0,55,55,56,20
"['Poison Point', 'Rivalry', 'Hustle']",Nidorina,30,,Type2,0.5,1,1,1,0.5,0.5,1,1,1,0.5,2,1,1,0.5,2,1,1,1,62,365,120,67,1,0.8,70,0,0,0,0,55,55,56,20
"['Poison Point', 'Rivalry', 'Sheer Force']",Nidoqueen,31,poison,Type1,0.5,1,1,0,0.5,0.5,1,1,1,1,2,2,1,0.25,2,0.5,1,2,92,505,45,87,1,1.3,90,0,0,0,0,75,85,76,60
"['Poison Point', 'Rivalry', 'Sheer Force']",Nidoqueen,31,ground,Type2,0.5,1,1,0,0.5,0.5,1,1,1,1,2,2,1,0.25,2,0.5,1,2,92,505,45,87,1,1.3,90,0,0,0,0,75,85,76,60
"['Poison Point', 'Rivalry', 'Hustle']",Nidoran Male,32,poison,Type1,0.5,1,1,1,0.5,0.5,1,1,1,0.5,2,1,1,0.5,2,1,1,1,57,273,235,40,1,0.5,46,0,0,0,100,40,40,50,9
"['Poison Point', 'Rivalry', 'Hustle']",Nidoran Male,32,,Type2,0.5,1,1,1,0.5,0.5,1,1,1,0.5,2,1,1,0.5,2,1,1,1,57,273,235,40,1,0.5,46,0,0,0,100,40,40,50,9
"['Poison Point', 'Rivalry', 'Hustle']",Nidorino,33,poison,Type1,0.5,1,1,1,0.5,0.5,1,1,1,0.5,2,1,1,0.5,2,1,1,1,72,365,120,57,1,0.9,61,0,0,0,100,55,55,65,19.5
"['Poison Point', 'Rivalry', 'Hustle']",Nidorino,33,,Type2,0.5,1,1,1,0.5,0.5,1,1,1,0.5,2,1,1,0.5,2,1,1,1,72,365,120,57,1,0.9,61,0,0,0,100,55,55,65,19.5
"['Poison Point', 'Rivalry', 'Sheer Force']",Nidoking,34,poison,Type1,0.5,1,1,0,0.5,0.5,1,1,1,1,2,2,1,0.25,2,0.5,1,2,102,505,45,77,1,1.4,81,0,0,0,100,85,75,85,62
"['Poison Point', 'Rivalry', 'Sheer Force']",Nidoking,34,ground,Type2,0.5,1,1,0,0.5,0.5,1,1,1,1,2,2,1,0.25,2,0.5,1,2,102,505,45,77,1,1.4,81,0,0,0,100,85,75,85,62
"['Cute Charm', 'Magic Guard', 'Friend Guard']",Clefairy,35,fairy,Type1,0.5,0.5,0,1,1,0.5,1,1,1,1,1,1,1,2,1,1,2,1,45,323,150,48,1,0.6,70,0,0,0,24.6,60,65,35,7.5
"['Cute Charm', 'Magic Guard', 'Friend Guard']",Clefairy,35,,Type2,0.5,0.5,0,1,1,0.5,1,1,1,1,1,1,1,2,1,1,2,1,45,323,150,48,1,0.6,70,0,0,0,24.6,60,65,35,7.5
"['Cute Charm', 'Magic Guard', 'Unaware']",Clefable,36,fairy,Type1,0.5,0.5,0,1,1,0.5,1,1,1,1,1,1,1,2,1,1,2,1,70,483,25,73,1,1.3,95,0,0,0,24.6,95,90,60,40
"['Cute Charm', 'Magic Guard', 'Unaware']",Clefable,36,,Type2,0.5,0.5,0,1,1,0.5,1,1,1,1,1,1,1,2,1,1,2,1,70,483,25,73,1,1.3,95,0,0,0,24.6,95,90,60,40
"['Flash Fire', 'Drought', 'Snow Cloak', 'Snow Warning']",Vulpix,37,fire,Type1,0.5,1,1,1,0.5,1,0.5,1,1,0.5,2,0.5,1,1,1,2,0.5,2,41,299,190,40,1,0.6,38,0,0,0,24.6,50,65,65,9.9
"['Flash Fire', 'Drought', 'Snow Cloak', 'Snow Warning']",Vulpix,37,ice,Type2,0.5,1,1,1,0.5,1,0.5,1,1,0.5,2,0.5,1,1,1,2,0.5,2,41,299,190,40,1,0.6,38,0,0,0,24.6,50,65,65,9.9
"['Flash Fire', 'Drought', 'Snow Cloak', 'Snow Warning']",Ninetales,38,fire,Type1,0.5,1,1,1,0.5,1,0.5,1,1,0.5,2,0.5,1,1,1,2,0.5,2,67,505,75,75,1,1.1,73,0,0,0,24.6,81,100,109,20
"['Flash Fire', 'Drought', 'Snow Cloak', 'Snow Warning']",Ninetales,38,ice,Type2,0.5,1,1,1,0.5,1,0.5,1,1,0.5,2,0.5,1,1,1,2,0.5,2,67,505,75,75,1,1.1,73,0,0,0,24.6,81,100,109,20
"['Cute Charm', 'Competitive', 'Friend Guard']",Jigglypuff,39,normal,Type1,0.5,0.5,0,1,1,1,1,1,0,1,1,1,1,2,1,1,2,1,45,270,170,20,1,0.5,115,0,0,0,24.6,45,25,20,5.5
"['Cute Charm', 'Competitive', 'Friend Guard']",Jigglypuff,39,fairy,Type2,0.5,0.5,0,1,1,1,1,1,0,1,1,1,1,2,1,1,2,1,45,270,170,20,1,0.5,115,0,0,0,24.6,45,25,20,5.5
"['Cute Charm', 'Competitive', 'Frisk']",Wigglytuff,40,normal,Type1,0.5,0.5,0,1,1,1,1,1,0,1,1,1,1,2,1,1,2,1,70,435,50,45,1,1,140,0,0,0,24.6,85,50,45,12
"['Cute Charm', 'Competitive', 'Frisk']",Wigglytuff,40,fairy,Type2,0.5,0.5,0,1,1,1,1,1,0,1,1,1,1,2,1,1,2,1,70,435,50,45,1,1,140,0,0,0,24.6,85,50,45,12
"['Inner Focus', 'Infiltrator']",Zubat,41,poison,Type1,0.25,1,1,2,0.5,0.25,1,1,1,0.25,0,2,1,0.5,2,2,1,1,45,245,255,35,1,0.8,40,0,0,0,50,30,40,55,7.5
"['Inner Focus', 'Infiltrator']",Zubat,41,flying,Type2,0.25,1,1,2,0.5,0.25,1,1,1,0.25,0,2,1,0.5,2,2,1,1,45,245,255,35,1,0.8,40,0,0,0,50,30,40,55,7.5
"['Inner Focus', 'Infiltrator']",Golbat,42,poison,Type1,0.25,1,1,2,0.5,0.25,1,1,1,0.25,0,2,1,0.5,2,2,1,1,80,455,90,70,1,1.6,75,0,0,0,50,65,75,90,55
"['Inner Focus', 'Infiltrator']",Golbat,42,flying,Type2,0.25,1,1,2,0.5,0.25,1,1,1,0.25,0,2,1,0.5,2,2,1,1,80,455,90,70,1,1.6,75,0,0,0,50,65,75,90,55
"['Chlorophyll', 'Run Away']",Oddish,43,grass,Type1,1,1,1,0.5,0.5,0.5,2,2,1,0.25,1,2,1,1,2,1,1,0.5,50,320,255,55,1,0.5,45,0,0,0,50,75,65,30,5.4
"['Chlorophyll', 'Run Away']",Oddish,43,poison,Type2,1,1,1,0.5,0.5,0.5,2,2,1,0.25,1,2,1,1,2,1,1,0.5,50,320,255,55,1,0.5,45,0,0,0,50,75,65,30,5.4
"['Chlorophyll', 'Stench']",Gloom,44,grass,Type1,1,1,1,0.5,0.5,0.5,2,2,1,0.25,1,2,1,1,2,1,1,0.5,65,395,120,70,1,0.8,60,0,0,0,50,85,75,40,8.6
"['Chlorophyll', 'Stench']",Gloom,44,poison,Type2,1,1,1,0.5,0.5,0.5,2,2,1,0.25,1,2,1,1,2,1,1,0.5,65,395,120,70,1,0.8,60,0,0,0,50,85,75,40,8.6
"['Chlorophyll', 'Effect Spore']",Vileplume,45,grass,Type1,1,1,1,0.5,0.5,0.5,2,2,1,0.25,1,2,1,1,2,1,1,0.5,80,490,45,85,1,1.2,75,0,0,0,50,110,90,50,18.6
"['Chlorophyll', 'Effect Spore']",Vileplume,45,poison,Type2,1,1,1,0.5,0.5,0.5,2,2,1,0.25,1,2,1,1,2,1,1,0.5,80,490,45,85,1,1.2,75,0,0,0,50,110,90,50,18.6
"['Effect Spore', 'Dry Skin', 'Damp']",Paras,46,bug,Type1,2,1,1,0.5,1,0.5,4,4,1,0.25,0.25,2,1,2,1,2,1,0.5,70,285,190,55,1,0.3,35,0,0,0,50,45,55,25,5.4
"['Effect Spore', 'Dry Skin', 'Damp']",Paras,46,grass,Type2,2,1,1,0.5,1,0.5,4,4,1,0.25,0.25,2,1,2,1,2,1,0.5,70,285,190,55,1,0.3,35,0,0,0,50,45,55,25,5.4
"['Effect Spore', 'Dry Skin', 'Damp']",Parasect,47,bug,Type1,2,1,1,0.5,1,0.5,4,4,1,0.25,0.25,2,1,2,1,2,1,0.5,95,405,75,80,1,1,60,0,0,0,50,60,80,30,29.5
"['Effect Spore', 'Dry Skin', 'Damp']",Parasect,47,grass,Type2,2,1,1,0.5,1,0.5,4,4,1,0.25,0.25,2,1,2,1,2,1,0.5,95,405,75,80,1,1,60,0,0,0,50,60,80,30,29.5
"['Compoundeyes', 'Tinted Lens', 'Run Away']",Venonat,48,bug,Type1,0.5,1,1,1,0.5,0.25,2,2,1,0.25,1,1,1,0.5,2,2,1,1,55,305,190,50,1,1,60,0,0,0,50,40,55,45,30
"['Compoundeyes', 'Tinted Lens', 'Run Away']",Venonat,48,poison,Type2,0.5,1,1,1,0.5,0.25,2,2,1,0.25,1,1,1,0.5,2,2,1,1,55,305,190,50,1,1,60,0,0,0,50,40,55,45,30
"['Shield Dust', 'Tinted Lens', 'Wonder Skin ']",Venomoth,49,bug,Type1,0.5,1,1,1,0.5,0.25,2,2,1,0.25,1,1,1,0.5,2,2,1,1,65,450,75,60,1,1.5,70,0,0,0,50,90,75,90,12.5
"['Shield Dust', 'Tinted Lens', 'Wonder Skin ']",Venomoth,49,poison,Type2,0.5,1,1,1,0.5,0.25,2,2,1,0.25,1,1,1,0.5,2,2,1,1,65,450,75,60,1,1.5,70,0,0,0,50,90,75,90,12.5
"['Sand Veil', 'Arena Trap', 'Sand Force', 'Sand Veil', 'Tangling Hair', 'Sand Force']",Diglett,50,ground,Type1,1,1,1,0,1,1,1,1,1,2,1,2,1,0.5,1,0.5,1,2,55,265,255,30,1,0.2,10,0,0,0,50,35,45,90,0.8
"['Sand Veil', 'Arena Trap', 'Sand Force', 'Sand Veil', 'Tangling Hair', 'Sand Force']",Diglett,50,ground,Type2,1,1,1,0,1,1,1,1,1,2,1,2,1,0.5,1,0.5,1,2,55,265,255,30,1,0.2,10,0,0,0,50,35,45,90,0.8
"['Sand Veil', 'Arena Trap', 'Sand Force', 'Sand Veil', 'Tangling Hair', 'Sand Force']",Dugtrio,51,ground,Type1,1,1,1,0,1,1,1,1,1,2,1,2,1,0.5,1,0.5,1,2,100,425,50,60,1,0.7,35,0,0,0,50,50,70,110,33.3
"['Sand Veil', 'Arena Trap', 'Sand Force', 'Sand Veil', 'Tangling Hair', 'Sand Force']",Dugtrio,51,ground,Type2,1,1,1,0,1,1,1,1,1,2,1,2,1,0.5,1,0.5,1,2,100,425,50,60,1,0.7,35,0,0,0,50,50,70,110,33.3
"['Pickup', 'Technician', 'Unnerve', 'Pickup', 'Technician', 'Rattled']",Meowth,52,normal,Type1,1,1,1,1,1,2,1,1,0,1,1,1,1,1,1,1,1,1,35,290,255,35,1,0.4,40,0,0,0,50,50,40,90,4.2
"['Pickup', 'Technician', 'Unnerve', 'Pickup', 'Technician', 'Rattled']",Meowth,52,dark,Type2,1,1,1,1,1,2,1,1,0,1,1,1,1,1,1,1,1,1,35,290,255,35,1,0.4,40,0,0,0,50,50,40,90,4.2
"['Limber', 'Technician', 'Unnerve', 'Fur Coat', 'Technician', 'Rattled']",Persian,53,normal,Type1,1,1,1,1,1,2,1,1,0,1,1,1,1,1,1,1,1,1,60,440,90,60,1,1,65,0,0,0,50,75,65,115,32
"['Limber', 'Technician', 'Unnerve', 'Fur Coat', 'Technician', 'Rattled']",Persian,53,dark,Type2,1,1,1,1,1,2,1,1,0,1,1,1,1,1,1,1,1,1,60,440,90,60,1,1,65,0,0,0,50,75,65,115,32
"['Damp', 'Cloud Nine', 'Swift Swim']",Psyduck,54,water,Type1,1,1,1,2,1,1,0.5,1,1,2,1,0.5,1,1,1,1,0.5,0.5,52,320,190,48,1,0.8,50,0,0,0,50,65,50,55,19.6
"['Damp', 'Cloud Nine', 'Swift Swim']",Psyduck,54,,Type2,1,1,1,2,1,1,0.5,1,1,2,1,0.5,1,1,1,1,0.5,0.5,52,320,190,48,1,0.8,50,0,0,0,50,65,50,55,19.6
"['Damp', 'Cloud Nine', 'Swift Swim']",Golduck,55,water,Type1,1,1,1,2,1,1,0.5,1,1,2,1,0.5,1,1,1,1,0.5,0.5,82,500,75,78,1,1.7,80,0,0,0,50,95,80,85,76.6
"['Damp', 'Cloud Nine', 'Swift Swim']",Golduck,55,,Type2,1,1,1,2,1,1,0.5,1,1,2,1,0.5,1,1,1,1,0.5,0.5,82,500,75,78,1,1.7,80,0,0,0,50,95,80,85,76.6
"['Vital Spirit', 'Anger Point', 'Defiant']",Mankey,56,fighting,Type1,0.5,0.5,1,1,2,1,1,2,1,1,1,1,1,1,2,0.5,1,1,80,305,190,35,1,0.5,40,0,0,0,50,35,45,70,28
"['Vital Spirit', 'Anger Point', 'Defiant']",Mankey,56,,Type2,0.5,0.5,1,1,2,1,1,2,1,1,1,1,1,1,2,0.5,1,1,80,305,190,35,1,0.5,40,0,0,0,50,35,45,70,28
"['Vital Spirit', 'Anger Point', 'Defiant']",Primeape,57,fighting,Type1,0.5,0.5,1,1,2,1,1,2,1,1,1,1,1,1,2,0.5,1,1,105,455,75,60,1,1,65,0,0,0,50,60,70,95,32
"['Vital Spirit', 'Anger Point', 'Defiant']",Primeape,57,,Type2,0.5,0.5,1,1,2,1,1,2,1,1,1,1,1,1,2,0.5,1,1,105,455,75,60,1,1,65,0,0,0,50,60,70,95,32
"['Intimidate', 'Flash Fire', 'Justified']",Growlithe,58,fire,Type1,0.5,1,1,1,0.5,1,0.5,1,1,0.5,2,0.5,1,1,1,2,0.5,2,70,350,190,45,1,0.7,55,0,0,0,75.4,70,50,60,19
"['Intimidate', 'Flash Fire', 'Justified']",Growlithe,58,,Type2,0.5,1,1,1,0.5,1,0.5,1,1,0.5,2,0.5,1,1,1,2,0.5,2,70,350,190,45,1,0.7,55,0,0,0,75.4,70,50,60,19
